ID,EC1,EC2,EC3,EC4,EC5,EC6,SI1,SI2,SI3,SI4,PBC1,PBC2,PBC3,PBC4,PBC5,CNS1,CNS2,CNS3,CNS4,CNS5,CNS6,CNS7,CNS8,GC1,GC2,GC3,GC4,GC5,GC6,GC7,GC8,GC9,GC10,GC11,GC12,GC13,PM1,PM2,PM3,PM4,PM5,Gender,Age,Marital_status,Education,Ethnicity,No_household,Income,Occupation,Work_category,TotalEC,TotalSI,TotalPBC,TotalCNS,TotalGC
349,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,3,4,3,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,1,1,3,2,6,1,5,3,2,6,5,14,16,15,20,22,50
350,5,4,4,5,5,5,4,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,4,4,4,4,5,5,5,4,2,2,4,3,2,5,1,4,2,2,4,1,11,18,14,25,39,58
351,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,2,2,3,3,4,3,3,2,4,3,3,2,2,2,3,4,4,3,2,2,2,1,1,3,3,4,1,2,4,3,2,3,4,1,13,11,12,15,22,36
353,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,4,5,4,4,5,3,3,4,4,5,4,4,4,4,5,5,5,5,3,1,1,3,4,1,3,2,5,2,2,5,1,11,17,16,25,35,55
354,3,3,3,4,4,3,3,4,4,4,3,3,3,3,3,2,2,4,3,3,3,4,4,3,3,3,3,2,3,2,2,4,2,1,1,1,1,1,1,1,2,1,3,3,3,2,1,2,4,4,13,15,15,25,30
356,4,4,5,4,4,4,3,3,3,4,4,4,5,4,4,4,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,5,4,4,4,5,3,3,1,1,4,2,3,2,5,2,2,6,1,1,17,13,21,35,59
358,5,4,5,5,5,5,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,1,1,1,1,3,2,3,2,4,2,2,5,1,6,19,12,18,40,62
360,3,3,4,2,5,4,4,4,5,5,3,5,5,5,4,3,3,5,1,2,2,2,3,5,2,1,3,3,2,2,1,1,1,3,3,3,2,2,2,2,5,1,3,4,5,2,2,5,2,1,12,18,22,21,30
363,5,4,5,5,5,5,4,4,4,4,3,3,5,5,4,3,3,4,4,5,3,4,4,4,4,5,4,4,4,5,4,5,5,5,5,5,1,1,5,5,5,2,3,1,4,2,2,5,1,2,19,16,20,30,59
364,4,1,3,3,3,2,4,4,5,3,3,5,5,5,5,4,4,5,5,5,4,2,1,3,3,4,5,5,5,5,5,4,5,4,4,4,1,1,1,1,4,2,2,4,4,2,1,2,2,6,11,16,23,30,56
365,5,4,4,4,4,4,3,3,4,4,4,4,2,4,3,2,2,4,2,2,2,2,2,4,4,4,4,4,3,4,4,4,4,4,3,3,4,1,5,5,5,2,2,4,5,1,2,2,1,2,17,14,17,18,49
366,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,3,4,4,5,4,4,4,4,4,3,5,5,5,2,2,1,5,1,2,2,1,2,20,16,20,32,56
367,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,4,3,3,1,5,1,3,3,2,3,1,11,17,17,20,28,49
368,4,5,4,5,5,5,5,5,5,5,4,5,4,4,5,5,4,5,5,5,5,3,4,5,4,4,4,5,4,3,4,4,4,4,4,4,5,3,5,5,5,2,2,4,6,3,3,2,1,3,18,20,22,36,53
369,3,4,4,5,5,4,3,3,3,4,4,4,4,3,4,2,2,4,3,2,2,3,4,4,4,4,1,5,1,1,2,3,3,2,2,2,5,3,5,5,5,2,2,4,5,1,3,2,1,3,16,13,19,22,34
370,3,4,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,4,3,4,4,3,4,4,4,4,3,3,3,3,3,1,2,4,5,1,1,2,1,5,14,14,15,27,47
372,5,3,4,4,5,5,2,4,2,2,4,2,3,3,4,2,2,3,2,3,2,3,4,2,3,2,2,4,4,2,3,2,3,2,4,2,3,3,5,5,5,2,2,4,4,1,5,1,3,6,16,10,16,21,35
373,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,3,1,4,1,2,2,2,13,16,16,20,32,52
374,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,2,3,1,5,4,2,1,2,13,16,16,20,32,52
375,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,6,1,2,1,3,12,16,16,20,32,52
377,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,2,3,1,5,1,2,2,2,1,12,12,15,32,52
378,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,3,4,5,5,5,4,5,3,3,3,4,3,5,5,5,5,4,4,4,5,1,5,3,5,2,1,3,1,11,18,20,20,30,55
379,2,4,4,5,5,5,4,4,4,4,5,5,5,4,2,3,5,3,4,3,2,3,4,4,4,4,4,5,5,4,3,5,2,4,5,4,2,2,5,5,5,1,2,4,5,2,2,1,1,3,15,16,21,27,53
380,3,3,3,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,4,4,4,5,1,5,1,5,1,4,1,2,2,2,4,1,11,13,12,17,24,46
381,3,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,3,3,3,4,3,3,3,4,3,4,3,4,3,4,4,5,5,5,5,4,5,5,5,2,4,1,5,2,2,4,1,11,13,16,21,27,50
382,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,2,3,4,4,3,3,3,3,2,4,4,2,2,2,2,3,3,5,5,5,2,2,4,5,1,2,2,1,7,15,16,20,24,38
383,3,3,3,5,5,3,5,3,4,3,5,5,4,4,4,3,3,3,4,4,4,3,3,5,5,5,5,5,3,4,3,2,4,3,4,4,4,4,4,4,4,1,2,4,4,1,2,1,1,13,14,15,22,27,52
384,3,2,4,4,4,3,4,4,3,3,4,4,4,3,5,4,3,3,3,3,4,4,3,5,5,4,3,4,3,2,2,2,2,3,4,4,3,3,4,3,4,2,2,4,3,1,3,1,2,2,13,14,20,27,43
385,2,2,2,3,3,4,4,4,3,3,4,4,3,2,3,2,2,3,2,3,3,2,2,3,3,3,2,2,2,2,3,3,3,2,2,2,3,2,5,5,5,2,2,4,6,1,3,2,1,14,9,14,16,19,32
386,5,5,5,5,5,4,4,4,4,3,5,5,4,4,5,3,3,4,4,5,4,2,2,2,2,2,4,5,3,3,2,4,3,2,4,2,4,3,4,3,1,2,2,4,7,1,3,1,3,12,20,15,23,27,38
